"","V1","V2","V3"
"1",5.84,8.9745121,78
"2",8.9745121,9.5201817,74
"3",9.5201817,9.9323359,69
"4",9.9323359,10.2516098,74
"5",10.2516098,10.6289339,78
"6",10.6289339,12.9741497,83
"7",12.9741497,13.9784126,85
"8",13.9784126,15.145215,86
"9",15.145215,17.0666676,74
"10",17.0666676,17.6878014,76
"11",17.6878014,18.0556202,78
"12",18.0556202,18.230917,79
"13",18.230917,18.4094009,78
"14",18.4094009,18.5527439,76
"15",18.5527439,18.7559185,78
"16",18.7559185,19.327322,81
"17",19.327322,19.9343319,69
"18",19.9343319,23.8004532,71
"19",23.8004532,24.3577328,73
"20",24.3577328,24.9962807,74
"21",24.9962807,25.8554192,78
"22",25.8554192,26.4359188,76
"23",26.4359188,28.8043537,79
"24",28.8043537,29.4196835,75
"25",29.4196835,29.9537411,76
"26",29.9537411,30.4761906,78
"27",30.4761906,31.0392742,79
"28",31.0392742,31.5907478,81
"29",31.5907478,32.2583237,83
"30",32.2583237,33.3902931,83
"31",33.3902931,34.6615868,71
"32",34.6615868,36.9429474,73
"33",36.9429474,38.0342865,74
"34",38.0342865,38.4000015,76
"35",38.4000015,38.6496162,74
"36",38.6496162,38.887619,73
"37",38.887619,39.1430397,74
"38",39.1430397,41.3837624,76
"39",41.3837624,44.744854,77
"40",44.744854,47.9317932,78
"41",47.9317932,48.4658508,74
"42",48.4658508,48.8315659,69
"43",48.8315659,49.1102028,74
"44",49.1102028,49.4817238,78
"45",49.4817238,51.8211327,83
"46",51.8211327,52.8486176,85
"47",52.8486176,54.0038109,86
"48",54.0038109,55.8497963,74
